Source,Destination,Weight
C5203670,C0019159,1.0
C5203670,C0035298,2.0
C5203670,C0848332,71.0
C5203670,C0087031,10.0
C5203670,C0454366,23.0
C5203670,C0344106,1.0
C5203670,C0037317,24.0
C5203670,C0235031,12.0
C5203670,C1995013,22.0
C5203670,C0036310,16.0
C5203670,C0232431,1.0
C5203670,C0039070,24.0
C5203670,C0393719,28.0
C5203670,C0600142,20.0
C5203670,C0039516,14.0
C5203670,C0235150,7.0
C5203670,C0026821,25.0
C5203670,C0085624,50.0
C5203670,C0152020,7.0
C5203670,C0020175,57.0
C5203670,C0086153,7.0
C5203670,C3218962,7.0
C5203670,C0027404,7.0
C5203670,C0272302,7.0
C5203670,C0004604,32.0
C5203670,C0865800,7.0
C5203670,C0007859,16.0
C5203670,C0028643,19.0
C5203670,C0858598,16.0
C5203670,C0229967,7.0
C5203670,C0003811,11.0
C5203670,C0037949,120.0
C5203670,C4085243,21.0
C5203670,C1285092,21.0
C5203670,C0277556,85.0
C5203670,C0235162,8.0
C5203670,C0040264,46.0
C5203670,C0011168,11.0
C5203670,C0849963,21.0
C5203670,C0149745,7.0
C5203670,C0040421,8.0
C5203670,C0836921,8.0
C5203670,C0036396,40.0
C5203670,C0238990,52.0
C5203670,C0021114,28.0
C5203670,C0225706,54.0
C5203670,C0426576,7.0
C5203670,C0020550,7.0
C5203670,C1868117,9.0
C5203670,C0033046,9.0
C5203670,C0280090,7.0
C5203670,C0224335,7.0
C5203670,C0040460,14.0
C5203670,C0235234,9.0
C5203670,C0032781,23.0
C5203670,C1412002,24.0
C5203670,C0474166,43.0
C5203670,C0476214,20.0
C5203670,C0021345,11.0
C5203670,C0015674,17.0
C5203670,C0024902,8.0
C5203670,C0019825,8.0
C5203670,C0006155,14.0
C5203670,C0022359,19.0
C5203670,C0043144,15.0
C5203670,C0036098,7.0
C5203670,C0227089,7.0
C5203670,C0013456,1.0
C5203670,C0582802,7.0
C5203670,C0149871,6.0
C5203670,C0032026,1.0
C5203670,C0042029,63.0
C5203670,C0000737,26.0
C5203670,C0022742,10.0
C5203670,C0426484,4.0
C5203670,C0917801,122.0
C5203670,C0239377,11.0
C5203670,C0016053,12.0
C5203670,C0302539,30.0
C5203670,C0151786,3.0
C5203670,C0030552,1.0
C5203670,C0199779,38.0
C5203670,C1314715,9.0
C5203670,C4698121,9.0
C5203670,C0199451,9.0
C5203670,C0042109,19.0
C5203670,C0002792,49.0
C5203670,C0035561,3.0
C5203670,C0005682,23.0
C5203670,C0746922,23.0
C5203670,C2363129,1.0
C5203670,C0013806,1.0
C5203670,C0559687,8.0
C5203670,C0028081,28.0
C5203670,C4317006,12.0
C5203670,C0003864,98.0
C5203670,C0849164,10.0
C5203670,C0037763,33.0
C5203670,C0344375,1.0
C5203670,C0796232,16.0
C5203670,C0265514,16.0
C5203670,C4761612,2.0
C5203670,C0221232,2.0
C5203670,C0588436,14.0
C5203670,C1443924,7.0
C5203670,C3489393,3.0
C5203670,C0850437,1.0
C5203670,C0849959,2.0
C5203670,C0677500,14.0
C5203670,C0238741,2.0
C5203670,C0023217,1.0
C5203670,C0014876,45.0
C5203670,C0376286,1.0
C5203670,C1510471,1.0
C5203670,C0040578,11.0
C5203670,C2039120,3.0
C5203670,C0439814,1.0
C5203670,C0016536,2.0
C5203670,C0017672,13.0
C5203670,C0497156,15.0
C5203670,C0004364,220.0
C5203670,C0586407,1.0
C5203670,C0497366,1.0
C5203670,C2957106,14.0
C5203670,C4284020,1.0
C5203670,C0032326,1.0
C5203670,C0742339,1.0
C5203670,C0362046,13.0
C5203670,C0239886,3.0
C5203670,C0040425,1.0
C5203670,C0231918,1.0
C5203670,C0507205,1.0
C5203670,C0033771,1.0
C5203670,C0858600,2.0
C5203670,C0581880,1.0
C5203670,C0278144,17.0
C5203670,C3890602,19.0
C5203670,C0041834,15.0
C5203670,C0730321,23.0
C5203670,C0231772,21.0
C5203670,C0230371,1.0
C5203670,C0235108,13.0
C5203670,C0700184,1.0
C5203670,C0848290,20.0
C5203670,C0222032,14.0
C5203670,C0020443,39.0
C5203670,C0013390,1.0
C5203670,C0239182,1.0
C5203670,C0857098,1.0
C5203670,C0037303,4.0
C5203670,C2951888,4.0
C5203670,C0860603,15.0
C5203670,C0036277,1.0
C5203670,C2129214,6.0
C5203670,C0279268,1.0
C5203670,C0268059,111.0
C5203670,C0235710,2.0
C5203670,C1440080,14.0
C5203670,C0225414,110.0
C5203670,C2937240,1.0
C5203670,C0232487,1.0
C5203670,C1293234,15.0
C5203670,C0848464,2.0
C5203670,C0751410,2.0
C5203670,C0039082,12.0
C5203670,C0751409,6.0
C5203670,C0230473,2.0
C5203670,C0235004,1.0
C5203670,C0239836,14.0
C5203670,C0339805,1.0
C5203670,C0857117,1.0
C5203670,C0030794,1.0
C5203670,C0850758,1.0
C5203670,C0457013,1.0
C5203670,C0549343,4.0
C5203670,C0857111,1.0
C5203670,C0559469,1.0
C5203670,C0281856,1.0
C5203670,C0200149,1.0
C5203670,C0010674,3.0
C5203670,C0857172,2.0
C5203670,C0151263,2.0
C5203670,C0024204,39.0
C5203670,C0027342,47.0
C5203670,C0013395,8.0
C5203670,C0011860,25.0
C5203670,C0575090,14.0
C5203670,C0234786,1.0
C5203670,C0848277,1.0
C5203670,C0231811,1.0
C5203670,C0235283,1.0
C5203670,C0007297,1.0
C5203670,C0238995,4.0
C5203670,C0024198,79.0
C5203670,C0034152,1.0
C5203670,C0679309,1.0
C5203670,C0683323,1.0
C5203670,C0042276,7.0
C5203670,C0037011,24.0
C5203670,C1515933,1.0
C5203670,C0412808,1.0
C5203670,C1883514,18.0
C5203670,C1293097,51.0
C5203670,C3853547,5.0
C5203670,C0687080,22.0
C5203670,C1690938,5.0
C5203670,C0743323,4.0
C5203670,C0040213,4.0
C5203670,C1880476,5.0
C5203670,C0521300,23.0
C5203670,C0276138,4.0
C5203670,C0027092,6.0
C5203670,C0020450,4.0
C5203670,C0239511,4.0
C5203670,C0037315,17.0
C5203670,C0282614,4.0
C5203670,C1313952,4.0
C5203670,C1708083,4.0
C5203670,C0268281,29.0
C5203670,C0032231,4.0
C5203670,C0235716,9.0
C5203670,C0850630,4.0
C5203670,C0234230,4.0
C5203670,C0454348,1.0
C5203670,C0035078,1.0
C5203670,C0010340,42.0
C5203670,C0027532,1.0
C5203670,C0456512,1.0
C5203670,C0857156,33.0
C5203670,C0038395,21.0
C5203670,C0393736,1.0
C5203670,C0454508,1.0
C5203670,C3888065,2.0
C5203670,C3887494,2.0
C5203670,C3541517,2.0
C5203670,C3539920,2.0
C5203670,C3714636,1.0
C5203670,C1396851,1.0
C5203670,C0036689,4.0
C5203670,C0003578,3.0
C5203670,C0203993,3.0
C5203670,C0085674,3.0
C5203670,C0024031,17.0
C5203670,C0424805,2.0
C5203670,C1281586,2.0
C5203670,C1269612,2.0
C5203670,C1269078,2.0
C5203670,C4554344,2.0
C5203670,C0222007,1.0
C5203670,C0022104,9.0
C5203670,C0242301,3.0
C5203670,C2370950,9.0
C5203670,C0423729,3.0
C5203670,C0275518,3.0
C5203670,C0178238,3.0
C5203670,C0439053,10.0
C5203670,C0022122,41.0
C5203670,C0019552,57.0
C5203670,C0229298,6.0
C5203670,C0149561,2.0
C5203670,C0992428,1.0
C5203670,C0085437,1.0
C5203670,C1142578,11.0
C5203670,C0025289,2.0
C5203670,C0035029,10.0
C5203670,C0037219,16.0
C5203670,C0086132,4.0
C5203670,C0150232,6.0
C5203670,C0011121,3.0
C5203670,C2004459,17.0
C5203670,C0001625,18.0
C5203670,C4699741,2.0
C5203670,C0871878,10.0
C5203670,C3469597,30.0
C5203670,C1186763,33.0
C5203670,C0679740,1.0
C5203670,C0679771,2.0
C5203670,C0004933,1.0
C5203670,C0233401,99.0
C5203670,C1533658,5.0
C5203670,C0043528,15.0
